file,t0,t1,dur,sbpr_1,scntr_1,imf_ratio21,pow_imf1,pow_imf2,pow_imf3,mu_w1,mu_w2,mu_w3,var_w1,var_w2,var_w3,sd_w1,sd_w2,sd_w3,speaker,language
Carol.wav,0.41,1.94,1.53,0.799964362274668,4.36485008829063,0.825424471921321,149.235114209114,123.182315338176,92.1104005549356,6.45440351384458,2.65551862521203,1.15652252533115,4.34998117379831,0.342255753283646,0.0828550293086457,2.08566084822013,0.585026284267336,0.287845495550383,Carol,English_L1
Carol.wav,3.35,5.85,2.5,1.07974875630451,3.79794852604496,0.796440289603686,163.795102486538,130.453018860044,105.340331252632,6.50265153707943,2.37344145655817,0.902890868012182,4.94844084111043,1.06727084100563,0.0719882629382482,2.2245091236294,1.03308801222627,0.268306285685312,Carol,English_L1
Carol.wav,4.6,6.34,1.74,0.319895079785635,5.49670972699729,0.586549335638489,168.503747531801,98.8357611673734,83.2901097140986,6.90410144209169,2.42337103305677,0.850838383750764,4.53163720288948,0.604080399501168,0.0467089821167843,2.12876424314424,0.777226092910659,0.216122608990323,Carol,English_L1
Carol.wav,7.39,9.89,2.5,1.71832951208869,3.30763015616509,0.739403408426849,132.334503846927,97.8485831968934,126.459729615128,6.36416211668049,2.5245563864569,0.747358125618467,6.5976831988322,1.37247311415105,0.0734054448926261,2.56859556933983,1.17152597672909,0.270934392229237,Carol,English_L1
Carol.wav,8.64,10.61,1.97,0.475937991073705,4.12103660447528,0.937296401607681,193.617638855009,181.477116186576,58.9102880144436,6.31717861707821,2.3526821784411,1.14560704595613,6.44305242403712,1.02368174745447,0.148102778334033,2.53831684862964,1.0117715885784,0.384841237829359,Carol,English_L1
Carol.wav,11.33,13.27,1.94,1.40197712861532,3.75354002792473,0.773978934930362,134.444744049727,104.057399806593,146.132201233952,6.94124113812065,3.09255783750153,0.494263344005453,3.79228084462675,1.29141535093762,0.0655784305424819,1.94737794088018,1.13640457185706,0.256082858743966,Carol,English_L1
Carol.wav,15.04,16.18,1.14,1.19505517952052,3.5767210834444,1.45253318193115,52.999493435379,76.9835228404299,39.2538898874227,6.20056542076994,2.81320343507325,1.13639782523838,4.76660904178373,0.452349328398074,0.107911509262401,2.18325652221257,0.672569199709646,0.328498872543577,Carol,English_L1
Carol.wav,16.28,17.76,1.48,0.780908944589427,4.21819569811494,0.367273678095136,222.229475938008,81.6190370089067,94.4459118619069,5.3375154630778,2.65363202628241,0.677955540009909,5.51235184159448,0.700312173291848,0.0339296433338562,2.34783982451838,0.836846564963882,0.184200009049555,Carol,English_L1
Carol.wav,18.42,20.92,2.5,1.14774225977861,3.82978466201704,0.411583212212592,176.060061357562,72.4633655958912,105.123071396325,5.4406984238592,2.61682274232829,1.29587148216447,3.51277381341475,1.23600513858756,0.159419272492899,1.87423952935978,1.11175767979698,0.399273430737507,Carol,English_L1
Carol.wav,19.67,21.17,1.5,0.774265320481387,4.48174885869021,0.510314831502655,103.997398647081,53.0714149672996,82.6955510040939,6.09713796698144,3.09701804998864,1.02239799278723,3.44004139214391,0.907939057321201,0.130908353285124,1.85473485763974,0.952858361626323,0.361812594149408,Carol,English_L1
Carol.wav,23.4,25.9,2.5,1.44073130392508,3.49812210333932,0.830306765342392,168.313526135086,139.751859448595,87.7637610373229,5.35256232026743,2.66461245612554,1.06750363433985,5.07350048362817,1.01653676340526,0.0746094544153356,2.25244322539508,1.00823447838549,0.27314731266358,Carol,English_L1
Carol.wav,24.65,26.4,1.75,0.325526743249858,4.90357941895812,0.499230235803335,163.638403077498,81.6932385548607,41.3853829392774,5.85803458948832,3.42108317125135,1.61287906703886,5.06905348046362,1.1445801923223,0.0838678245009488,2.25145585798692,1.06985054672244,0.289599420753821,Carol,English_L1
Carol.wav,26.96,29.46,2.5,1.00925181078942,3.57417245571296,0.654207150079562,140.237337784837,91.7442690869634,184.914308784107,5.74780214917894,2.76997074585828,0.814120278777635,4.05048003727892,1.33054563117077,0.195132063385689,2.01258044243675,1.15349279632374,0.441737550346004,Carol,English_L1
Carol.wav,28.21,30.61,2.4,0.990277137666728,3.52074439167105,0.684475488308987,119.607724014077,81.8685553000616,74.7493496607777,5.18907523477847,2.32866276199491,1.16209483374879,3.58238983156147,0.926074527565172,0.0770015062630172,1.89272022009632,0.962327661228322,0.277491452594521,Carol,English_L1
Carol.wav,29.46,30.61,1.15,0.443108136250191,4.81892034059584,0.824597630898155,95.7104503245323,78.9226105898049,14.786887754099,5.46565054077355,2.11230057429047,0.958952698247733,1.78865267914098,0.488163556014674,0.024754895069222,1.33740520379613,0.698687022932782,0.157336884007603,Carol,English_L1
Carol.wav,31.91,34.41,2.5,0.669428395525304,4.35602887654025,0.599005339300969,123.875620453143,74.2021580606527,28.8480586519004,6.23347488070579,2.57623071490109,1.51095597846447,4.22465728082367,0.961911239440593,0.165269275522395,2.05539711024991,0.980770737451212,0.406533240365896,Carol,English_L1
Carol.wav,33.16,35.6,2.44,0.856735935939151,4.39691283763414,1.03260138188279,226.814469094166,234.208934217647,135.119662279918,6.68062584303981,2.22987341972046,1.13719355693584,3.5727115284039,1.55931503315546,0.167155707869413,1.89016177307761,1.24872536338278,0.408846802444893,Carol,English_L1
Carol.wav,34.41,35.6,1.19,1.01220444261233,4.00486404874806,1.80250692676957,107.631573995145,194.006657665361,10.1099113457903,6.62969030529144,1.84447690078784,1.20191068066856,4.64034151410054,1.80028130953516,0.0820732853714236,2.1541451933657,1.34174562027799,0.286484354496757,Carol,English_L1
